run_ts_kyiv,run_ts_utc,ok,error,tz_ok,page_updated,rows_total,rows_kept,new_instances,snapshots_added,stops_added,stops_latest_rows,finished_now,gap_since_prev_run_min
2026-09-23 18:07:06,2026-09-23 15:07:06,1,,1,23 вересня 18:06,33,33,33,33,388,388,0,
2026-09-23 22:02:40,2026-09-23 19:02:40,1,,1,23 вересня 21:57,42,42,22,40,398,629,0,236
2026-09-24 01:10:25,2026-09-23 22:10:25,1,,1,24 вересня 00:54,57,57,24,54,404,799,13,188
2026-09-24 03:29:16,2026-09-24 00:29:16,1,,1,24 вересня 03:26,70,70,19,66,775,1293,9,139
2026-09-24 08:09:57,2026-09-24 05:09:57,1,,1,24 вересня 08:09,80,80,21,76,740,1639,7,281
2026-09-24 12:58:43,2026-09-24 09:58:43,1,,1,24 вересня 12:34,52,52,18,51,411,1891,13,289
2026-09-24 17:36:31,2026-09-24 14:36:31,1,,1,24 вересня 17:24,29,29,13,28,194,2003,44,278
2026-09-24 21:40:09,2026-09-24 18:40:09,1,,1,24 вересня 21:30,41,41,29,41,324,2285,36,244
2026-09-25 00:49:01,2026-09-24 21:49:01,1,,1,25 вересня 00:49,47,47,12,47,584,2635,16,189
2026-09-25 03:12:38,2026-09-25 00:12:38,1,,1,25 вересня 03:12,55,55,10,49,475,2769,7,144
2026-09-25 07:54:52,2026-09-25 04:54:52,1,,1,25 вересня 07:49,64,64,22,64,820,3206,1,282
2026-09-25 12:57:59,2026-09-25 09:57:59,1,,1,25 вересня 12:54,30,30,8,30,241,3285,14,303
2026-09-25 17:55:56,2026-09-25 14:55:56,1,,1,25 вересня 17:45,17,17,14,17,216,3471,42,298
2026-09-25 22:05:33,2026-09-25 19:05:33,1,,1,25 вересня 22:05,17,17,5,14,166,3563,26,250
2026-09-26 01:18:20,2026-09-25 22:18:20,1,,1,26 вересня 01:15,35,35,21,30,369,3839,5,193
2026-09-26 03:45:02,2026-09-26 00:45:02,1,,1,26 вересня 03:44,39,39,6,37,340,3949,3,147
2026-09-26 08:30:39,2026-09-26 05:30:39,1,,1,26 вересня 08:28,57,57,25,54,583,4297,2,286
2026-09-26 13:05:25,2026-09-26 10:05:25,1,,1,26 вересня 12:56,25,25,7,22,181,4382,8,275
